mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_colsample_bytree,param_learning_rate,param_min_child_weight,param_subsample
1.6026362419128417,0.06716234893199702,0.17579202651977538,0.060570325465931316,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.8321242559523809,0.8067336309523809,0.7783668154761905,0.734188988095238,0.8232886904761905,0.7949404761904763,0.03547044619134913,135.0,Random Forest,,sqrt,1.0,2.0,500.0,,,,
0.34044413566589354,0.05330045608790618,0.07110319137573243,0.020059186689775927,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8102678571428572,0.80078125,0.7680431547619048,0.7211681547619048,0.810453869047619,0.7821428571428571,0.034224653821612036,286.0,Random Forest,,sqrt,1.0,5.0,100.0,,,,
0.7388600826263427,0.1027428704886254,0.07030096054077148,0.004565976911303808,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8236607142857143,0.8017113095238095,0.7782738095238095,0.7310267857142857,0.8141741071428571,0.7897693452380952,0.03307465329014963,232.0,Random Forest,,sqrt,1.0,5.0,200.0,,,,
1.009296178817749,0.19474656715875482,0.1659482955932617,0.05624993588285061,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8238467261904763,0.80859375,0.7829241071428571,0.7286086309523809,0.8165922619047619,0.7921130952380953,0.03462692421202739,187.0,Random Forest,,sqrt,1.0,5.0,300.0,,,,
1.5732402801513672,0.1366009798187013,0.140217924118042,0.012510452396073157,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.8268229166666666,0.8061755952380952,0.7840401785714286,0.7258184523809523,0.8173363095238095,0.7920386904761905,0.03605235116736904,190.0,Random Forest,,sqrt,1.0,5.0,500.0,,,,
0.31431145668029786,0.030285912086093172,0.08335542678833008,0.00973130797857325,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8234747023809524,0.8244047619047619,0.7825520833333334,0.7317708333333334,0.8119419642857143,0.7948288690476192,0.03497201901493547,138.0,Random Forest,,sqrt,1.0,10.0,100.0,,,,
0.7119082450866699,0.0638353029950085,0.08235998153686523,0.008046069058604418,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8260788690476191,0.8218005952380952,0.785342261904762,0.7317708333333334,0.8218005952380952,0.797358630952381,0.03596059964500356,70.0,Random Forest,,sqrt,1.0,10.0,200.0,,,,
0.9966789722442627,0.06037655588171638,0.10267043113708496,0.012653290890161255,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8325892857142858,0.8253348214285714,0.7818080357142857,0.7273065476190477,0.8240327380952381,0.7982142857142858,0.03970095446364667,28.0,Random Forest,,sqrt,1.0,10.0,300.0,,,,
1.5219249248504638,0.05884629705545684,0.17082509994506836,0.036056455494469467,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8312872023809523,0.8234747023809524,0.7847842261904762,0.7267485119047619,0.824032738095238,0.7980654761904762,0.0392074267301403,34.0,Random Forest,,sqrt,1.0,10.0,500.0,,,,
0.33774900436401367,0.04490478554470463,0.07651720046997071,0.0168123589576517,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8329613095238095,0.8071056547619048,0.7719494047619048,0.7375372023809523,0.8227306547619049,0.7944568452380952,0.035180747794957654,150.0,Random Forest,,sqrt,2.0,2.0,100.0,,,,
0.7318621635437011,0.1278028676167563,0.10180821418762206,0.0334605587588331,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8268229166666667,0.8152901785714285,0.7788318452380952,0.7360491071428571,0.8219866071428572,0.795796130952381,0.03431068116872509,107.0,Random Forest,,sqrt,2.0,2.0,200.0,,,,
0.9455025672912598,0.16738934521961846,0.09780287742614746,0.007715531456272263,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8266369047619048,0.8119419642857143,0.7792038690476191,0.734375,0.8193824404761904,0.7943080357142857,0.034073278696211386,153.0,Random Forest,,sqrt,2.0,2.0,300.0,,,,
1.5306262493133544,0.02319820913631828,0.17295241355895996,0.016105638187476963,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.8314732142857143,0.8136160714285714,0.7756696428571428,0.7295386904761904,0.8203125,0.7941220238095237,0.03734318591899334,154.0,Random Forest,,sqrt,2.0,2.0,500.0,,,,
0.32780704498291013,0.0411579202033064,0.07221226692199707,0.01064921376975158,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8340773809523808,0.8104538690476191,0.7708333333333334,0.7334449404761906,0.8121279761904762,0.7921875,0.035756771913939514,186.0,Random Forest,,sqrt,2.0,5.0,100.0,,,,
0.8012768268585205,0.07741201263781403,0.14289493560791017,0.04279514741751728,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8277529761904762,0.8182663690476191,0.781063988095238,0.7328869047619048,0.8184523809523809,0.7956845238095238,0.0352533734952184,116.0,Random Forest,,sqrt,2.0,5.0,200.0,,,,
1.0072001457214355,0.2006092304721961,0.14182052612304688,0.03114945219028061,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8372395833333334,0.8158482142857143,0.7868303571428572,0.7243303571428571,0.8173363095238095,0.7963169642857144,0.039420833764749974,93.0,Random Forest,,sqrt,2.0,5.0,300.0,,,,
1.4842069149017334,0.20740107992025847,0.16651926040649415,0.029612682427713307,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.8311011904761906,0.8188244047619048,0.7911086309523809,0.7295386904761906,0.8191964285714285,0.7979538690476191,0.03664168243286284,40.0,Random Forest,,sqrt,2.0,5.0,500.0,,,,
0.31031079292297364,0.02940194019908594,0.09398956298828125,0.04788053528463198,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8353794642857142,0.8173363095238095,0.7840401785714285,0.7328869047619048,0.8151041666666667,0.7969494047619048,0.0360353791923437,81.0,Random Forest,,sqrt,2.0,10.0,100.0,,,,
0.7341123580932617,0.06563822276051015,0.07575531005859375,0.005903928680034096,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8266369047619048,0.8152901785714286,0.7831101190476191,0.7327008928571429,0.820126488095238,0.7955729166666667,0.034827668155357996,118.0,Random Forest,,sqrt,2.0,10.0,200.0,,,,
0.9159054279327392,0.09140502614302534,0.10689253807067871,0.013796236972981792,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.8327752976190477,0.822358630952381,0.7831101190476191,0.7317708333333333,0.8190104166666666,0.7978050595238095,0.03701870580683634,52.0,Random Forest,,sqrt,2.0,10.0,300.0,,,,
1.4796825408935548,0.11320827571002383,0.1577460765838623,0.016324290520769648,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.8277529761904762,0.8197544642857142,0.7847842261904762,0.7282366071428572,0.8275669642857143,0.7976190476190477,0.03814069669621658,63.0,Random Forest,,sqrt,2.0,10.0,500.0,,,,
0.36085805892944334,0.06695598789428561,0.06759076118469239,0.0178272546107786,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8249627976190477,0.8125,0.7879464285714286,0.7209821428571428,0.8191964285714285,0.7931175595238095,0.03821037694647522,173.0,Random Forest,,sqrt,4.0,2.0,100.0,,,,
0.7438740253448486,0.0757389842479423,0.08577394485473633,0.015278632102800057,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.827752976190476,0.8149181547619048,0.7872023809523809,0.7243303571428571,0.8245907738095238,0.7957589285714286,0.03846355587977989,110.0,Random Forest,,sqrt,4.0,2.0,200.0,,,,
0.8578079223632813,0.15563233901542972,0.11258821487426758,0.016489257629859286,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.8307291666666667,0.8177083333333333,0.7905505952380952,0.7198660714285714,0.8307291666666666,0.7979166666666667,0.04169216906627968,45.0,Random Forest,,sqrt,4.0,2.0,300.0,,,,
1.5117515563964843,0.10006915454902697,0.13827943801879883,0.013587382216371409,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.8312872023809523,0.8169642857142857,0.7877604166666667,0.7183779761904763,0.8296130952380952,0.7968005952380953,0.042200456511717166,83.0,Random Forest,,sqrt,4.0,2.0,500.0,,,,
0.3009504795074463,0.01687993660752433,0.09711341857910157,0.0427806503391707,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8249627976190477,0.8125,0.7879464285714286,0.7209821428571428,0.8191964285714285,0.7931175595238095,0.03821037694647522,173.0,Random Forest,,sqrt,4.0,5.0,100.0,,,,
0.7543516635894776,0.16477564619504861,0.09105534553527832,0.013745965805261494,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.827752976190476,0.8149181547619048,0.7872023809523809,0.7243303571428571,0.8245907738095238,0.7957589285714286,0.03846355587977989,110.0,Random Forest,,sqrt,4.0,5.0,200.0,,,,
0.9340898036956787,0.07068257385496793,0.11234097480773926,0.012405638794284675,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.8307291666666667,0.8177083333333333,0.7905505952380952,0.7198660714285714,0.8307291666666666,0.7979166666666667,0.04169216906627968,45.0,Random Forest,,sqrt,4.0,5.0,300.0,,,,
