dataset,fold,scenario,w_rga,w_rgr,w_rge,w_fairness,aurga,rgr_aggregate,aurge,fairness_aggregate,safe_score,decision
German Credit,4,Fairness priority,0.2,0.2,0.2,0.4,0.7271579936013561,0.945856746227566,0.9690043184341042,0.7351117886178862,0.8224485270997598,APPROVED
German Credit,5,Equal weights,0.25,0.25,0.25,0.25,0.6680177631674276,0.9486574975380428,0.971300494163136,0.4236191860465116,0.7528987352287795,APPROVED
German Credit,5,RGA priority,0.4,0.2,0.2,0.2,0.6680177631674276,0.9486574975380428,0.971300494163136,0.4236191860465116,0.7359225408165092,REJECTED
German Credit,5,RGR priority,0.2,0.4,0.2,0.2,0.6680177631674276,0.9486574975380428,0.971300494163136,0.4236191860465116,0.7920504876906322,APPROVED
German Credit,5,RGE priority,0.2,0.2,0.4,0.2,0.6680177631674276,0.9486574975380428,0.971300494163136,0.4236191860465116,0.7965790870156509,APPROVED
German Credit,5,Fairness priority,0.2,0.2,0.2,0.4,0.6680177631674276,0.9486574975380428,0.971300494163136,0.4236191860465116,0.687042825392326,REJECTED
Taiwan Credit,1,Equal weights,0.25,0.25,0.25,0.25,0.6374915879441542,0.9367508665312484,0.951550337567726,0.9533907382463982,0.8697958825723817,APPROVED
Taiwan Credit,1,RGA priority,0.4,0.2,0.2,0.2,0.6374915879441542,0.9367508665312484,0.951550337567726,0.9533907382463982,0.8233350236467363,APPROVED
Taiwan Credit,1,RGR priority,0.2,0.4,0.2,0.2,0.6374915879441542,0.9367508665312484,0.951550337567726,0.9533907382463982,0.8831868793641551,APPROVED
Taiwan Credit,1,RGE priority,0.2,0.2,0.4,0.2,0.6374915879441542,0.9367508665312484,0.951550337567726,0.9533907382463982,0.8861467735714506,APPROVED
Taiwan Credit,1,Fairness priority,0.2,0.2,0.2,0.4,0.6374915879441542,0.9367508665312484,0.951550337567726,0.9533907382463982,0.8865148537071851,APPROVED
Taiwan Credit,2,Equal weights,0.25,0.25,0.25,0.25,0.6203488885320881,0.9368426032213764,0.950584979831234,0.9428945513385572,0.862667755730814,APPROVED
Taiwan Credit,2,RGA priority,0.4,0.2,0.2,0.2,0.6203488885320881,0.9368426032213764,0.950584979831234,0.9428945513385572,0.8142039822910688,APPROVED
Taiwan Credit,2,RGR priority,0.2,0.4,0.2,0.2,0.6203488885320881,0.9368426032213764,0.950584979831234,0.9428945513385572,0.8775027252289265,APPROVED
Taiwan Credit,2,RGE priority,0.2,0.2,0.4,0.2,0.6203488885320881,0.9368426032213764,0.950584979831234,0.9428945513385572,0.880251200550898,APPROVED
Taiwan Credit,2,Fairness priority,0.2,0.2,0.2,0.4,0.6203488885320881,0.9368426032213764,0.950584979831234,0.9428945513385572,0.8787131148523626,APPROVED
Taiwan Credit,3,Equal weights,0.25,0.25,0.25,0.25,0.6076108309230946,0.937890990733104,0.945776545942104,0.938516443143964,0.8574487026855667,APPROVED
Taiwan Credit,3,RGA priority,0.4,0.2,0.2,0.2,0.6076108309230946,0.937890990733104,0.945776545942104,0.938516443143964,0.8074811283330723,APPROVED
Taiwan Credit,3,RGR priority,0.2,0.4,0.2,0.2,0.6076108309230946,0.937890990733104,0.945776545942104,0.938516443143964,0.8735371602950741,APPROVED
Taiwan Credit,3,RGE priority,0.2,0.2,0.4,0.2,0.6076108309230946,0.937890990733104,0.945776545942104,0.938516443143964,0.8751142713368742,APPROVED
Taiwan Credit,3,Fairness priority,0.2,0.2,0.2,0.4,0.6076108309230946,0.937890990733104,0.945776545942104,0.938516443143964,0.8736622507772462,APPROVED
Taiwan Credit,4,Equal weights,0.25,0.25,0.25,0.25,0.6032688688566277,0.9361762861322424,0.9507528227334926,0.9496672595954204,0.8599663093294457,APPROVED
Taiwan Credit,4,RGA priority,0.4,0.2,0.2,0.2,0.6032688688566277,0.9361762861322424,0.9507528227334926,0.9496672595954204,0.8086268212348822,APPROVED
Taiwan Credit,4,RGR priority,0.2,0.4,0.2,0.2,0.6032688688566277,0.9361762861322424,0.9507528227334926,0.9496672595954204,0.8752083046900051,APPROVED
Taiwan Credit,4,RGE priority,0.2,0.2,0.4,0.2,0.6032688688566277,0.9361762861322424,0.9507528227334926,0.9496672595954204,0.8781236120102551,APPROVED
Taiwan Credit,4,Fairness priority,0.2,0.2,0.2,0.4,0.6032688688566277,0.9361762861322424,0.9507528227334926,0.9496672595954204,0.8779064993826408,APPROVED
Taiwan Credit,5,Equal weights,0.25,0.25,0.25,0.25,0.6422005045445591,0.93819412068327,0.9518122998155346,0.9600320535420525,0.873059744646354,APPROVED
Taiwan Credit,5,RGA priority,0.4,0.2,0.2,0.2,0.6422005045445591,0.93819412068327,0.9518122998155346,0.9600320535420525,0.8268878966259952,APPROVED
Taiwan Credit,5,RGR priority,0.2,0.4,0.2,0.2,0.6422005045445591,0.93819412068327,0.9518122998155346,0.9600320535420525,0.8860866198537373,APPROVED
Taiwan Credit,5,RGE priority,0.2,0.2,0.4,0.2,0.6422005045445591,0.93819412068327,0.9518122998155346,0.9600320535420525,0.8888102556801902,APPROVED
Taiwan Credit,5,Fairness priority,0.2,0.2,0.2,0.4,0.6422005045445591,0.93819412068327,0.9518122998155346,0.9600320535420525,0.8904542064254938,APPROVED
