num_removed_features,fraction_removed,removed_features,rge_curve_value
36,0.5901639344262295,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education,0.998277089944989
37,0.6065573770491803,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent,0.9979678474407148
38,0.6229508196721312,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none,0.9973909266305576
39,0.639344262295082,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously,0.9971175897861296
40,0.6557377049180327,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv,0.9965564835355205
41,0.6721311475409836,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv; housing_own,0.9959279967829703
42,0.6885245901639344,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv; housing_own; employment_4less_than_=Xless_than_7,0.9951894501843046
43,0.7049180327868853,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv; housing_own; employment_4less_than_=Xless_than_7; credit_history_no credits/all paid,0.9942987877322844
44,0.7213114754098361,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv; housing_own; employment_4less_than_=Xless_than_7; credit_history_no credits/all paid; purpose_new car,0.9935961550047245
45,0.7377049180327869,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education; housing_rent; other_parties_none; credit_history_delayed previously; purpose_radio/tv; housing_own; employment_4less_than_=Xless_than_7; credit_history_no credits/all paid; purpose_new car; savings_status_no known savings,0.9924019222100432
